iter	MultiClass
0	1.380162892
1	1.126693013
2	0.9468288039
3	0.8122669443
4	0.7059548628
5	0.6195133611
6	0.5454240873
7	0.4846037164
8	0.4312456591
9	0.3852353891
10	0.3447340987
11	0.3089415206
12	0.2787657352
13	0.2511359232
14	0.2269223326
15	0.205431083
16	0.1855297598
17	0.1686903892
18	0.1529121662
19	0.1390123111
20	0.1260639979
21	0.1145491066
22	0.1039224205
23	0.09460769955
24	0.0858808029
25	0.07841301488
26	0.0713887752
27	0.06513051602
28	0.05926735667
29	0.0539465778
30	0.04915701585
31	0.04478710021
32	0.04094439056
33	0.0374039842
34	0.03431554858
35	0.03140458921
36	0.02866915014
37	0.02618585773
38	0.02393618706
39	0.02195035437
40	0.02016505307
41	0.01849174973
42	0.01709907712
43	0.01573854013
44	0.01446226534
45	0.01328416037
46	0.0122496125
47	0.01132588272
48	0.0105007754
49	0.009659107898
50	0.008957806408
51	0.008281242249
52	0.007642976489
53	0.007107625301
54	0.006614941925
55	0.006163925719
56	0.005755562697
57	0.005382239054
58	0.005051309148
59	0.004801835918
60	0.004618153545
61	0.004472023529
62	0.004356460371
63	0.004186239842
64	0.004117631295
65	0.004021988445
66	0.003824065163
67	0.003735693744
68	0.003685195167
69	0.003615917742
70	0.003496714006
71	0.003292400512
72	0.003229467334
73	0.003083396712
74	0.003034933108
75	0.002988495325
76	0.002889820833
77	0.002762441785
78	0.002711701961
79	0.002680363814
80	0.00265447662
81	0.002593343508
82	0.002550622978
83	0.002516001658
84	0.002484811549
85	0.002470954566
86	0.002404750728
87	0.002314846148
88	0.002298451105
89	0.00227919027
90	0.002259439292
91	0.002174382232
92	0.002069832996
93	0.002048449295
94	0.001951267886
95	0.001890657309
96	0.001876386773
97	0.001865365148
98	0.001857243759
99	0.001847497105
100	0.001807620329
101	0.001798636379
102	0.001791507565
103	0.001773128896
104	0.001766182105
105	0.001754550286
106	0.001741827003
107	0.001726669394
108	0.001721844269
109	0.00168619647
110	0.001680565457
111	0.00164690267
112	0.001629901054
113	0.001626579385
114	0.00162037592
115	0.001614961404
116	0.001611339839
117	0.001599344167
118	0.001592122552
119	0.00158844782
120	0.001584251352
121	0.001561468579
122	0.001552584984
123	0.001540822907
124	0.001534434473
125	0.001530444932
126	0.001487638471
127	0.001448041197
128	0.00144413362
129	0.001407492907
130	0.00134860124
131	0.001340680522
132	0.001338137881
133	0.001320557842
134	0.001311143667
135	0.001306034663
136	0.001296518652
137	0.001294058722
138	0.00129107397
139	0.001287355968
140	0.001283848429
141	0.001274523842
142	0.001269814397
143	0.001262327884
144	0.001259881102
145	0.00125791589
146	0.001255516262
147	0.001253941823
148	0.001250387165
149	0.001245830304
150	0.001240814927
151	0.001239327808
152	0.001233832044
153	0.00123227764
154	0.001230594479
155	0.001228394662
156	0.001176529704
157	0.001169067602
158	0.00116434273
159	0.001116695151
160	0.001110461783
161	0.001107953587
162	0.001103252631
163	0.00110201375
164	0.001100657347
165	0.001098875621
166	0.001074502385
167	0.001070127297
168	0.001068718245
169	0.001064858156
170	0.001062795146
171	0.001061808834
172	0.00101998844
173	0.001018933578
174	0.0009980057823
175	0.0009964760488
176	0.000991362342
177	0.0009879107145
178	0.0009846936859
179	0.0009718873232
180	0.0009704968023
181	0.0009662137418
182	0.0009630304538
183	0.0009619690632
184	0.000925473313
185	0.0009221646036
186	0.0009192988258
187	0.0009185333922
188	0.0009162305994
189	0.0009144875506
190	0.0008963097134
191	0.0008929690231
192	0.000890384006
193	0.0008882164262
194	0.0008859907491
195	0.0008830157287
196	0.0008822280748
197	0.0008717438176
198	0.0008515765857
199	0.0008477891991
200	0.0008454961485
201	0.0008430155521
202	0.000819122862
203	0.0008165734907
204	0.0008157219379
205	0.000812460974
206	0.0008105717126
207	0.0008076660757
208	0.0007933616352
209	0.0007914865897
210	0.0007893162221
211	0.0007679078588
212	0.0007673655105
213	0.0007668079064
214	0.0007639469287
215	0.0007512169066
216	0.0007485462414
217	0.0007472441121
218	0.0007450468454
219	0.0007432321246
220	0.0007424943332
221	0.0007418734738
222	0.0007195236316
223	0.0007188941729
224	0.000707618851
225	0.0007068733927
226	0.0007037645855
227	0.0007021843225
228	0.0007016758444
229	0.0007001179786
230	0.0006978445249
231	0.0006961814037
232	0.0006942233061
233	0.0006925383803
234	0.0006903804531
235	0.0006882225859
236	0.0006777064363
237	0.000668105066
238	0.0006622413832
239	0.0006477756866
240	0.0006471735144
241	0.000645619628
242	0.0006304107329
243	0.0006294465181
244	0.0006288267541
245	0.0006274611309
246	0.0006265795632
247	0.0006248523762
248	0.0006241832553
249	0.0006232066619
250	0.0006143406028
