Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Bishkek,PM2.5 - Principal,2022-10-10 03:00 AM,2022,10,10,03,24.8,78,Moderate,21.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 04:00 AM,2022,10,10,04,24.9,78,Moderate,25.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 05:00 AM,2022,10,10,05,21.9,72,Moderate,19.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 06:00 AM,2022,10,10,06,20.4,68,Moderate,19.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 07:00 AM,2022,10,10,07,18.7,65,Moderate,17.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 08:00 AM,2022,10,10,08,19.8,67,Moderate,21.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 09:00 AM,2022,10,10,09,20.8,69,Moderate,22.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 10:00 AM,2022,10,10,10,20.4,68,Moderate,20.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 11:00 AM,2022,10,10,11,21.6,71,Moderate,23.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 12:00 PM,2022,10,10,12,19.4,66,Moderate,17.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 01:00 PM,2022,10,10,13,21.2,70,Moderate,24.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 02:00 PM,2022,10,10,14,28.8,86,Moderate,36.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 03:00 PM,2022,10,10,15,26.9,82,Moderate,25.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 04:00 PM,2022,10,10,16,28.9,86,Moderate,31.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 05:00 PM,2022,10,10,17,25.9,80,Moderate,23.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 06:00 PM,2022,10,10,18,23.9,76,Moderate,22.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 07:00 PM,2022,10,10,19,21.4,71,Moderate,19.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 08:00 PM,2022,10,10,20,33.7,96,Moderate,46.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 09:00 PM,2022,10,10,21,36.8,104,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 10:00 PM,2022,10,10,22,35.4,100,Moderate,34.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-10 11:00 PM,2022,10,10,23,33.2,95,Moderate,31.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-11 12:00 AM,2022,10,11,00,33.1,95,Moderate,33.0,UG/M3,1 Hr,Valid
